Date,Stock,Close,KNO,%
1/8/04,A,32.28,311,83
1/9/04,A,32.05,313,83
8/16/05,A,30.48,311,100
8/17/05,A,31.11,313,100
2/4/74,AA,2.0,3.0
2/23/81,AA,1.0,2.0
2/27/95,AA,1.0,2.0
2/26/99,AA,1.0,2.0
12/6/99,AA,72.63,313,83
5/26/00,AA,57.31,415,83
6/12/00,AA,1.0,2.0
5/13/05,AA,26.7,415,83
5/16/05,AA,26.6,417,92
9/26/05,AA,24.2,417,83
10/6/05,AA,22.91,417,83
10/3/08,AA,19.24,415,92
10/7/08,AA,16.71,417,92
10/8/08,AA,14.71,417,92
10/9/08,AA,12.46,417,92
10/10/08,AA,11.25,417,92
10/27/08,AA,9.04,417,83
8/8/11,AA,11.33,415,100
8/9/11,AA,12.24,417,83
9/22/11,AA,10.11,415,83
9/30/11,AA,9.57,417,83
7/16/14,AA,16.6,311,92
6/16/87,AAPL,1.0,2.0
6/21/95,AAPL,49.38,311,92
6/22/95,AAPL,49.13,313,92
7/1/97,AAPL,13.19,417,92
7/2/97,AAPL,13.06,417,92
9/1/99,AAPL,68.63,313,83
9/2/99,AAPL,70.56,313,92
9/3/99,AAPL,73.5,313,92
9/7/99,AAPL,76.38,313,100
6/21/00,AAPL,1.0,2.0
7/19/02,AAPL,14.96,415,83
10/6/04,AAPL,40.64,311,83
10/18/04,AAPL,47.75,311,92
10/19/04,AAPL,47.42,313,92
10/28/04,AAPL,52.19,311,83
10/29/04,AAPL,52.4,313,92
11/3/04,AAPL,55.31,313,100
11/29/04,AAPL,68.44,311,92
11/30/04,AAPL,67.05,313,83
2/16/05,AAPL,90.13,311,83
2/28/05,AAPL,1.0,2.0
2/9/12,AAPL,493.17,313,83
2/10/12,AAPL,493.42,313,100
2/14/12,AAPL,509.46,313,100
2/29/12,AAPL,542.44,311,83
3/14/12,AAPL,589.58,313,100
3/15/12,AAPL,585.56,313,92
6/9/14,AAPL,1.0,7.0
2/3/97,ABC,49.75,313,83
2/4/97,ABC,51.25,313,83
12/29/05,ABC,1.0,2.0
6/16/09,ABC,1.0,2.0
4/19/13,ABC,55.92,311,92
6/2/86,ABT,1.0,2.0
6/1/90,ABT,1.0,2.0
6/1/92,ABT,1.0,2.0
1/31/95,ABT,35.38,311,83
2/1/95,ABT,35.25,313,83
6/1/98,ABT,1.0,2.0
6/13/02,ABT,35.95,415,83
7/11/02,ABT,31.65,415,92
7/12/02,ABT,33.15,417,92
5/3/04,ABT,9356.0,10000.0
8/16/06,ABT,49.28,311,83
1/18/07,ABT,52.79,313,100
1/19/07,ABT,53.52,313,100
1/10/08,ABT,60.11,313,83
1/2/13,ABT,4798.0,10000.0
7/27/00,ACE,36.69,311,92
1/6/06,ACN,31.15,311,92
1/9/06,ACN,31.06,313,92
8/20/96,ACT,26.0,417,83
10/6/97,ACT,65.13,311,83
6/6/03,ACT,39.83,311,83
6/16/03,ACT,42.13,313,83
5/3/04,ACT,35.42,415,83
5/2/11,ACT,63.36,313,92
4/30/13,ACT,105.73,311,92
5/15/13,ACT,123.88,313,100
2/19/14,ACT,210.56,313,92
2/20/14,ACT,220.37,313,100
2/21/14,ACT,218.41,313,100
3/18/15,ACT,313.95,313,83
11/23/88,ADBE,1.0,2.0
8/11/93,ADBE,1.0,2.0
1/8/96,ADBE,41.88,415,83
1/9/96,ADBE,38.0,417,83
1/10/96,ADBE,38.5,417,83
5/5/97,ADBE,46.5,311,92
7/31/98,ADBE,32.31,417,83
8/3/98,ADBE,31.0,417,100
8/4/98,ADBE,30.25,417,100
10/27/99,ADBE,1.0,2.0
10/25/00,ADBE,1.0,2.0
9/18/03,ADBE,41.52,311,83
5/24/05,ADBE,1.0,2.0
10/7/08,ADBE,28.69,415,92
10/27/08,ADBE,23.68,415,83
6/28/10,ADBE,28.72,417,92
6/29/10,ADBE,26.9,417,100
6/30/10,ADBE,26.43,417,100
8/8/11,ADBE,23.91,415,92
8/9/11,ADBE,24.81,417,83
4/15/86,ADI,3.0,4.0
1/5/95,ADI,2.0,3.0
1/4/96,ADI,2.0,3.0
1/7/97,ADI,3.0,4.0
7/15/97,ADI,32.81,311,92
3/16/00,ADI,1.0,2.0
8/28/78,ADM,100.0,105.0
8/27/79,ADM,100.0,105.0
10/27/80,ADM,100.0,105.0
8/17/81,ADM,100.0,105.0
8/17/82,ADM,100.0,105.0
8/16/83,ADM,100.0,105.0
8/14/84,ADM,100.0,105.0
8/13/85,ADM,100.0,105.0
6/3/86,ADM,2.0,3.0
8/12/86,ADM,100.0,105.0
8/11/87,ADM,100.0,105.0
8/16/88,ADM,100.0,105.0
8/22/89,ADM,100.0,105.0
12/5/89,ADM,2.0,3.0
8/14/90,ADM,100.0,105.0
8/13/91,ADM,100.0,105.0
8/11/92,ADM,100.0,105.0
8/17/93,ADM,20.0,21.0
8/16/94,ADM,100.0,105.0
10/28/94,ADM,29.0,311,100
12/6/94,ADM,2.0,3.0
8/17/95,ADM,100.0,105.0
8/15/96,ADM,20.0,21.0
8/14/97,ADM,20.0,21.0
8/20/98,ADM,100.0,105.0
8/19/99,ADM,100.0,105.0
8/24/00,ADM,100.0,105.0
8/30/01,ADM,100.0,105.0
2/5/04,ADM,17.16,311,83
2/6/04,ADM,17.2,313,100
12/18/07,ADM,40.18,311,92
12/19/07,ADM,41.38,313,100
12/20/07,ADM,43.29,313,100
12/21/07,ADM,44.27,313,100
12/24/07,ADM,44.99,313,100
12/26/07,ADM,45.75,313,92
12/27/07,ADM,46.04,313,100
12/28/07,ADM,47.09,313,83
7/15/08,ADM,28.37,415,83
10/7/08,ADM,17.04,417,83
10/8/08,ADM,17.03,417,92
10/9/08,ADM,15.29,417,83
8/2/12,ADM,25.13,415,83
9/6/95,ADP,68.38,313,83
9/8/95,ADP,69.25,311,92
9/8/97,ADP,2.0,3.0
4/2/07,ADP,9033.0,10000.0
10/1/14,ADP,1000.0,1139.0
7/31/13,ADS,197.78,311,92
8/1/13,ADS,203.23,313,100
8/2/13,ADS,203.11,313,100
3/30/87,ADSK,1.0,3.0
10/31/94,ADSK,1.0,2.0
3/10/00,ADSK,54.88,313,92
3/13/00,ADSK,52.94,313,83
4/19/02,ADSK,1.0,2.0
12/21/04,ADSK,1.0,2.0
10/3/05,ADSK,46.74,311,83
3/4/08,ADSK,29.9,415,83
4/26/10,ADSK,34.72,311,92
5/27/03,AEE,46.49,311,100
5/28/03,AEE,45.95,313,92
6/1/05,AEE,55.0,313,83
11/25/97,AEP,49.75,313,92
11/26/97,AEP,49.69,313,83
12/18/97,AEP,51.5,313,83
10/6/98,AEP,52.0,311,100
10/8/98,AEP,52.94,313,100
9/8/00,AEP,38.91,311,83
9/11/00,AEP,39.33,313,83
7/10/02,AEP,35.27,415,83
7/19/02,AEP,28.3,415,83
7/22/02,AEP,26.02,417,92
7/23/02,AEP,23.51,417,92
7/11/05,AEP,38.88,311,83
7/12/05,AEP,38.99,313,92
2/1/94,AES,2.0,3.0
8/29/97,AES,1.0,2.0
1/14/00,AES,83.25,313,100
6/2/00,AES,1.0,2.0
9/1/00,AES,67.0,311,92
2/4/05,AES,15.19,313,92
2/16/05,AES,16.05,311,92
2/17/05,AES,16.48,313,100
2/18/05,AES,16.59,313,100
3/7/05,AES,17.65,313,100
11/6/08,AES,6.61,415,83
6/4/79,AET,2.0,3.0
12/14/00,AET,1.0,2.0
4/16/01,AET,25.44,415,83
4/17/01,AET,25.12,417,92
3/16/04,AET,87.14,311,83
3/14/05,AET,1.0,2.0
2/21/06,AET,1.0,2.0
7/31/06,AET,31.49,415,92
8/1/06,AET,30.99,417,100
6/4/85,AFL,2.0,3.0
3/3/86,AFL,3.0,4.0
2/3/87,AFL,1.0,2.0
6/15/93,AFL,4.0,5.0
3/18/96,AFL,2.0,3.0
11/4/96,AFL,41.5,311,83
6/9/98,AFL,1.0,2.0
3/19/01,AFL,1.0,2.0
2/3/04,AFL,39.0,311,92
2/4/04,AFL,38.96,313,92
2/11/04,AFL,40.7,313,83
5/3/07,AFL,52.92,313,92
5/4/07,AFL,52.66,313,92
10/24/07,AFL,61.72,311,92
10/25/07,AFL,61.76,313,100
2/8/96,AGN,37.75,313,100
2/9/96,AGN,38.5,313,100
10/28/96,AGN,31.25,415,92
10/29/96,AGN,31.38,417,92
4/3/97,AGN,27.5,417,83
6/5/98,AGN,45.69,311,83
1/29/99,AGN,76.88,311,92
12/10/99,AGN,1.0,2.0
6/28/00,AGN,77.81,311,83
6/25/07,AGN,1.0,2.0
1/4/13,AGN,97.87,311,83
1/7/13,AGN,98.34,313,83
1/9/13,AGN,100.7,313,92
1/10/13,AGN,103.38,313,100
1/11/13,AGN,103.19,313,83
11/18/86,AIG,1.0,2.0
7/23/90,AIG,4.0,5.0
7/30/93,AIG,2.0,3.0
7/31/95,AIG,2.0,3.0
7/28/97,AIG,2.0,3.0
4/17/98,AIG,139.44,311,92
8/3/98,AIG,2.0,3.0
8/2/99,AIG,4.0,5.0
7/31/00,AIG,2.0,3.0
9/19/01,AIG,69.5,415,83
9/21/01,AIG,67.05,417,100
10/22/04,AIG,54.7,415,83
11/21/07,AIG,51.33,417,92
11/23/07,AIG,53.03,417,83
3/17/08,AIG,39.8,415,83
7/1/09,AIG,20.0,1.0
8/27/09,AIG,47.84,311,100
8/28/09,AIG,50.23,313,100
6/8/95,AIV,19.5,313,83
6/14/95,AIV,19.88,313,92
10/18/96,AIV,22.5,311,92
10/21/96,AIV,22.75,313,92
10/29/96,AIV,23.63,313,92
11/19/96,AIV,24.5,313,83
11/20/96,AIV,25.0,313,83
12/31/96,AIV,28.25,311,92
2/4/99,AIV,41.56,311,92
12/17/99,AIV,35.13,417,83
7/26/00,AIV,47.97,311,92
7/27/00,AIV,48.63,313,92
10/9/02,AIV,35.0,417,83
9/7/04,AIV,36.82,313,83
6/20/02,AKAM,1.09,415,92
6/21/02,AKAM,1.05,417,92
6/24/02,AKAM,0.96,417,92
6/25/02,AKAM,0.94,417,92
9/9/08,AKAM,17.72,417,83
